[29.056549072] 2018-01-15 22:51:11,253 - INFO - launcher: Starting sanity checks
[29.546737671] 2018-01-15 22:51:11,253 - INFO - launcher: Checking for Python 3.5+
[29.546737671] 2018-01-15 22:51:11,253 - INFO - launcher: Checking console encoding
[30.048131943] 2018-01-15 22:51:11,254 - INFO - launcher: Setting console encoding to UTF-8
[30.048131943] 2018-01-15 22:51:11,254 - INFO - launcher: Ensuring we're in the right environment
[31.106472015] 2018-01-15 22:51:11,255 - INFO - launcher: Adding local bins/ folder to path
[31.550884247] 2018-01-15 22:51:11,255 - INFO - launcher: Required checks passed.
[35.109758377] 2018-01-15 22:51:11,259 - INFO - launcher: Optional checks passed.
[35.618543625] 2018-01-15 22:51:11,260 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[4.1051170825958252] 2018-01-15 22:51:15,329 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 437 in get_voice_client: Connection attempt 1 to General
[4.1051170825958252] 2018-01-15 22:51:15,329 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 376 in join_voice_channel: (join_voice_channel) creating futures
[4.1056194305419922] 2018-01-15 22:51:15,330 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 382 in join_voice_channel: (join_voice_channel) setting voice state
[4.1056194305419922] 2018-01-15 22:51:15,330 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 385 in join_voice_channel: (join_voice_channel) waiting for session id
[5.6561546325683594] 2018-01-15 22:51:16,880 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 2552 in on_voice_state_update: Resumed voice connection to The Master Baiters/General
[5.6566548347473145] 2018-01-15 22:51:16,881 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 2564 in on_voice_state_update: Voice state update for 402515685948915722/Radio#9413 on The Master Baiters/General -> [RESUME, CONNECT]
[5.6571302413940430] 2018-01-15 22:51:16,881 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 389 in join_voice_channel: (join_voice_channel) waiting for voice data
[5.6576583385467529] 2018-01-15 22:51:16,882 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 403 in join_voice_channel: (join_voice_channel) connecting...
[5.9663147926330566] 2018-01-15 22:51:17,190 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 415 in join_voice_channel: (join_voice_channel) connection successful
[5.9668159484863281] 2018-01-15 22:51:17,191 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 463 in get_voice_client: Connected in 1.9s
[5.9668159484863281] 2018-01-15 22:51:17,191 - INFO - musicbot.bot | In bot.py::MainThread(30044), line 464 in get_voice_client: Connected to The Master Baiters/General
[5.9682910442352295] 2018-01-15 22:51:17,192 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 805 in deserialize_queue: Deserializing queue for 165960734885412864
[6.0942189693450928] 2018-01-15 22:51:17,318 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 555 in get_player: Created player via deserialization for server 165960734885412864 with 1 entries
[6.0947163105010986] 2018-01-15 22:51:17,319 - INFO - musicbot.bot | In bot.py::MainThread(30044), line 283 in _join_startup_channels: Joined The Master Baiters/General
[6.0955314636230469] 2018-01-15 22:51:17,319 - INFO - musicbot.bot | In bot.py::MainThread(30044), line 267 in _join_startup_channels: Attempting to join Suinalk's armpits?/🎵Pub🎵
[6.0966632366180420] 2018-01-15 22:51:17,321 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 437 in get_voice_client: Connection attempt 1 to 🎵Pub🎵
[6.0966632366180420] 2018-01-15 22:51:17,321 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 376 in join_voice_channel: (join_voice_channel) creating futures
[6.0966632366180420] 2018-01-15 22:51:17,321 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 382 in join_voice_channel: (join_voice_channel) setting voice state
[6.0971944332122803] 2018-01-15 22:51:17,321 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 385 in join_voice_channel: (join_voice_channel) waiting for session id
[6.0971944332122803] 2018-01-15 22:51:17,321 - VOICEDEBUG - musicbot.player | In player.py::MainThread(30044), line 311 in websocket_check: Starting websocket check loop for The Master Baiters
[6.0976982116699219] 2018-01-15 22:51:17,322 - FFMPEG - musicbot.player | In player.py::MainThread(30044), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-opC2ybXb13s-Instrumental_Jazz_Music_for_Hotel_Lobby_-_Relaxing_Background_Music.webm
[6.2613456249237061] 2018-01-15 22:51:17,485 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 781 in serialize_queue: Serializing queue for 165960734885412864
[8.0656416416168213] 2018-01-15 22:51:19,290 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 2552 in on_voice_state_update: Resumed voice connection to Suinalk's armpits?/🎵Pub🎵
[8.0661425590515137] 2018-01-15 22:51:19,290 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 2564 in on_voice_state_update: Voice state update for 402515685948915722/Radio#9413 on Suinalk's armpits?/🎵Pub🎵 -> [RESUME, CONNECT]
[8.0661425590515137] 2018-01-15 22:51:19,290 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 389 in join_voice_channel: (join_voice_channel) waiting for voice data
[8.0666439533233643] 2018-01-15 22:51:19,291 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 403 in join_voice_channel: (join_voice_channel) connecting...
[8.4248173236846924] 2018-01-15 22:51:19,649 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(30044), line 415 in join_voice_channel: (join_voice_channel) connection successful
[8.4248173236846924] 2018-01-15 22:51:19,649 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 463 in get_voice_client: Connected in 2.3s
[8.4248173236846924] 2018-01-15 22:51:19,649 - INFO - musicbot.bot | In bot.py::MainThread(30044), line 464 in get_voice_client: Connected to Suinalk's armpits?/🎵Pub🎵
[8.4262125492095947] 2018-01-15 22:51:19,650 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 805 in deserialize_queue: Deserializing queue for 221994535981416451
[8.4412543773651123] 2018-01-15 22:51:19,665 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 555 in get_player: Created player via deserialization for server 221994535981416451 with 1 entries
[8.4417562484741211] 2018-01-15 22:51:19,666 - INFO - musicbot.bot | In bot.py::MainThread(30044), line 283 in _join_startup_channels: Joined Suinalk's armpits?/🎵Pub🎵
[8.4427585601806641] 2018-01-15 22:51:19,667 - VOICEDEBUG - musicbot.player | In player.py::MainThread(30044), line 311 in websocket_check: Starting websocket check loop for Suinalk's armpits?
[8.4427585601806641] 2018-01-15 22:51:19,667 - FFMPEG - musicbot.player | In player.py::MainThread(30044), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-opC2ybXb13s-Instrumental_Jazz_Music_for_Hotel_Lobby_-_Relaxing_Background_Music.webm
[8.5555589199066162] 2018-01-15 22:51:19,779 - DEBUG - musicbot.bot | In bot.py::MainThread(30044), line 781 in serialize_queue: Serializing queue for 221994535981416451
